,precision,recall,f1-score,support
pessoa,0.8716931216931217,1.0,0.9314487632508833,659.0
capacete,0.6177248677248677,1.0,0.7636958299264104,467.0
luvas,0.8275862068965517,0.06722689075630252,0.12435233160621761,357.0
colete,0.8531746031746031,1.0,0.9207708779443254,645.0
mascara,0.6277602523659306,0.9660194174757282,0.7609942638623327,412.0
micro avg,0.7482088024564995,0.8633858267716535,0.8016815938585268,2540.0
macro avg,0.759587810371015,0.8066492616464063,0.7002524133180339,2540.0
weighted avg,0.774530078467611,0.8633858267716535,0.7568076074514788,2540.0
samples avg,0.7450617283950617,0.7590167548500881,0.7434985722684135,2540.0
